Name,Category,Latitude,Longitude
OREGONCOFFEEBAR,Kedai Kopi,-6.9469137,106.94039
Kedai Saribhumi,Kafe,-6.9173268,106.9313392
Point Coffee Fresh Raden Samsudin,Kedai Kopi,-6.9148532,106.9357845
Kalijodocoffee Sukabumi,Kedai Kopi,-6.9201946,106.9297307
Kopi Dermawan,Kafe,-6.9166462,106.9313158
KOPI SUKABUMI,Kedai Kopi,-6.9022225,106.8494287
"""Suatu Hari"" (creative space & mini cafe)",Kafe seni,-6.911936,106.933955
Brunch Recipe Cafe,Restoran,-6.9185184,106.9336938
The Secret Chamber Coffee,Kedai Kopi,-6.9107794,106.9349729
Anomaly Board Game Cafe,Kafe,-6.9175019,106.9363569
Warung Kopi PALUGADA Sukabumi,Kedai Kopi,-6.9109174,106.8956446
Delapan Belas Cafe,Kafe,-6.9121125,106.9621216
Ubi Cilembu Sukabumi,Kedai Kopi,-6.9018934,106.8470199
GBK Sukabumi,Kafe,-6.9219468,106.9268534
Mr.yos,Kedai Kopi,-6.9226835,106.9339108
Gang Makmoer,Restoran,-6.9174261,106.9313277
KANAWA,Restoran,-6.9103619,106.9357207
TAWACOFFEE SUKABUMI,Kedai Kopi,-6.9150631,106.9298832
Mason Coffee,Kedai Kopi,-6.8817859,106.9467529
The Uluwatu Galdery,Kedai Kopi,-6.8751112,106.9492287
Console coffee,Kedai Kopi,-6.921928,106.9268481
Photo Coffee Eat & Drink Sukabumi,Kafe,-6.9119694,106.9348388
Pusat Jajanan Sukabumi Dago,Kafe,-6.9182828,106.9314545
D'Joglo Odjo Dumeh,Kafe,-6.913357,106.928157
Satu Kenangan - Ahmad Yani Sukabumi,Kedai Kopi,-6.9219096,106.9264219
Kopi Merdeka Sukabumi,Kedai Kopi,-6.918832,106.9264121
Restaurant Sunda Rasa Sukabumi,Restoran Sunda,-6.918992,106.9367039
Rumah Makan Haroem Sari,Restoran,-6.9196963,106.9359431
De Kebondjati,Restoran,-6.9185767,106.9362257
PANORAMA RESTO AND CAFE,Restoran Sunda,-6.9509184,106.9210714
Mamih Ungu Resto and Cafe,Restoran Indonesia,-6.9187583,106.9194507
Rumah Makan Cikole Sukabumi,Restoran Masakan Ayam,-6.9176893,106.9324112
RM Saung Karang Ni'mat,Restoran Sunda,-6.9458863,106.9394246
Seoul little,Restoran Korea,-6.9225307,106.9314186
Rumah Makan Sunda Neira,Restoran Sunda,-6.8947584,106.8036274
RM Ibu Bunut,Restoran Sunda,-6.9146862,106.9331533
Waroeng Semesta,Restoran,-6.9116727,106.9354074
Soedirman Street Food,Restoran,-6.9207264,106.9220751
roemah om sinyo,Rumah Makan,-6.9114262,106.9340693
Botram Resto,Restoran,-6.917268,106.9294602
Ladaland Sukabumi,Restoran,-6.9161949,106.9325596
Rumah Makan Sunda Kang Abah,Restoran Sunda,-6.9502994,106.9324408
Mang Kabayan Sukabumi,Restoran Sunda,-6.9188289,106.9287682
Rumah Seafood Sukabumi,Restoran Seafood,-6.90814,106.9367248
Bebek Jontor Jalur Sukabumi,Restoran Indonesia,-6.9487956,106.9380888
RM Saung Hegar Rizky,Restoran Sunda,-6.9501267,106.9193211
RM Ayam Bunut,Restoran,-6.9145576,106.9346619
Waroeng Restoe Iboe,Kafe,-6.9092521,106.936271
Praline Sukabumi,Restoran,-6.9138936,106.9336072
Rumah Makan Athiam,China,-6.9202022,106.9293057
Saung Liwet Mak Onot,Rumah Makan,-6.9239743,106.8936885
Rumah Makan Jam Gadang Ciaul,Rumah Makan,-6.9226547,106.9408064
IKAN BAKAR CIBADAK - SEAFOOD RESTO & CAFE,Hidangan Laut,-6.8946367,106.7954403
Rumah Makan Jam Gadang Selabintana Sukabumi,Padang,-6.897057,106.938621
Rumah makan padang SARASA,Restoran,-6.9126439,106.9302403
Rumah Makan Teh Ica,Sunda,-6.9061536,106.891822
Bistro 99 Resto & Cafe,Sesuai untuk keluarga,-6.9214846,106.9220268
"Rumah Makan ""SUNDA NGEUNAH""",Restoran,-6.9043724,106.8864176
Ale's Place Cipoho | Restoran Jepang Halal di Kota Sukabumi,Jepang,-6.9360843,106.9251829
Rumah Makan Larosse,Sunda,-6.9541188,106.7683977
Rasa Roemah,Indonesia,-6.9228074,106.9339015
Rumah makan Neng Ardila,Restoran,-6.8960197,106.8142108
RUMAH MAKAN JALUR SUNDA,Restoran makanan pedesaan,-6.9510995,106.9297708
Warung Nasi Adang,Sunda,-6.9496118,106.9342517
Tuna Bakar Cafe & Resto,Restoran,-6.9504375,106.9216875
Rumah Makan BUNDA,Padang,-6.9158718,106.9324199
Surabi Tasik Pak Asep,Rumah Makan,-6.9002113,106.9231898
Warung Makan 99 A,Sunda,-6.9093148,106.9362413
Rumah Makan Bu Hj. Lia,Restoran,-6.9262338,106.9212758
KHAIRA AYAM GORENG SUKABUMI,Ayam Goreng,-6.9236737,106.9352417
Saung Indung,Restoran,-6.9511197,106.930879
Bubur Ayam Bunut Siliwangi,Bubur,-6.9122668,106.9349334
Waroeng ASRIE Sukabumi Jalur,Hidangan Laut,-6.9490267,106.919863
Kari am Garuda resto,Restoran,-6.9598514,106.9436713
Kopi Nako Sukabumi,Kedai Kopi,-6.9050142,106.9415424
Warung nasi mamah,Nasi,-6.9195693,106.9180601
Rumah Makan Padang Elok Basamo,Padang,-6.9293475,106.9327889
Rumah Makan Bang Basir Masakan Padang,Padang,-6.9069781,106.8956655
Rumah Makan Toboh Mandiri,Padang,-6.9040448,106.8790838
Rumah Makan Simpang Baru,Padang,-6.9211658,106.9229408
Rumah Makan Ibu Baba,Sunda,-6.9099841,106.9357239
Rumah Makan Rumah Gadang,Padang,-6.9029641,106.9379117
LEGO STREET FOOD COURT CIBADAK,Restoran,-6.8924375,106.7835625
Rm.pak Nano,Sunda,-6.9362688,106.9211587
Rumah makan masakan padang ELOK DI CUBO,Padang,-6.9151808,106.9514854
Mie SP Seuhah Pisan Karamat,Mi,-6.9090112,106.9215973
Rumah Makan Rumah Gadang,Padang,-6.9029641,106.9379117
Lego Lagi,Restoran,-6.892704,106.7836906
Sate H. Mamat (Pusat),Sate,-6.9216695,106.9249364
Rumah Makan Parasmanan,Padang,-6.9360768,106.9365383
Warung Makan Dapur Sukabumi,Indonesia,-6.9142283,106.9326492
Rumah makan Pak Idit,Padang,-6.9404969,106.9232254
Rumah Makan Elok Basamo ALvani,Padang,-6.9221144,106.9311327
Rumah Makan Ibu Mimin,Sunda,-6.900665,106.8254917
Rumah Makan Do'a Ibu,Rumah Makan,-6.9007314,106.9499914
Rumah Makan Padang Basalero,Padang,-6.8945837,106.7908157
Rumah Makan Ibu Denti,Rumah Makan,-6.9223973,106.926938
Rumah Makan Seafood,Hidangan Laut,-6.9106157,106.8955629
Rumah Makan Citra Rasa,Padang,-6.9124721,106.8991696
Rumah Makan Bakery,Restoran,-6.9080247,106.9206712
Rumah Makan Bintang Minang,Padang,-6.905516,106.8924547
Rumah makan abah,Rumah Makan,-6.8959277,106.8358218
Tahu Sumedang Jalur RM. H Didi,Sunda,-6.915414,106.8828292
Rumah Makan Pak Ajo Cikembang,Padang,-6.9453986,106.7719951
Rumah makan Talago Minang,Padang,-6.9512476,106.9306352
Rumah makan sambal GAMI,Indonesia,-6.9109623,106.9349299
Rumah Makan Mamah Ezha,Restoran,-6.9223216,106.9391631
Rumah makan sunda ibu eneng,Restoran,-6.9575057,106.7720293
